Unnamed: 0,Species,Owner,Country_of_Origin,Farm.Name,Altitude,Region,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,CoffeeScore,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Aroma_Bucket,Flavor_Bucket,Aftertaste_Bucket,Acidity_Bucket,Body_Bucket,Balance_Bucket,Uniformity_Bucket,Clean.Cup_Bucket,Sweetness_Bucket,Category.One.Defects_Bucket,Category.Two.Defects_Bucket,CoffeeScore_Bucket
0,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,m,1950.0,2200.0,2075.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
1,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,m,1950.0,2200.0,2075.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
2,Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",1600 - 1800 m,,5,1,,"May 31st, 2010",Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,,0,m,1600.0,1800.0,1700.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
3,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,1800-2200,oromia,320,60 kg,2014,"March 26th, 2015",,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,m,1800.0,2200.0,2000.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
4,Arabica,metad plc,Ethiopia,metad plc,1950-2200,Guji,300,60 kg,2014,"April 4th, 2015",Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,m,1950.0,2200.0,2075.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
5,Arabica,ji-ae ahn,Brazil,,,,100,30 kg,2013,"September 3rd, 2013",,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish-Green,1,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
6,Arabica,hugo valdivia,Peru,,,,100,69 kg,2012,"September 17th, 2012",Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
7,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"September 2nd, 2010",,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,,0,m,1570.0,1700.0,1635.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"September 2nd, 2010",,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,,0,m,1570.0,1700.0,1635.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
9,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,1795-1850,SNNPR,50,60 kg,2014,"March 30th, 2015",Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,m,1795.0,1850.0,1822.5,High,High,High,High,Average,High,Low,Low,Low,Low,Average,High
10,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,1855-1955,oromia,300,60 kg,2014,"March 27th, 2015",,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,,1,m,1855.0,1955.0,1905.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
13,Arabica,grounds for health admin,United States (HI),arianna farms,2000 ft,kona,1,1,Sept 2009 - April 2010,"May 31st, 2010",,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,,2,ft,609.6,609.6,609.6,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
14,Arabica,ethiopia commodity exchange,Ethiopia,aolme,1570-1700,oromia,300,60 kg,March 2010,"August 31st, 2010",,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,,2,m,1570.0,1700.0,1635.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
16,Arabica,grounds for health admin,Indonesia,toarco jaya,1200-1800m,sulawesi,1,"2 kg,lbs",May-August,"May 31st, 2010",,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,,0,m,1200.0,1800.0,1500.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
18,Arabica,yunnan coffee exchange,China,echo coffee,1450,yunnan,3,60 kg,2015,"April 7th, 2016",Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,m,1450.0,1450.0,1450.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
19,Arabica,essencecoffee,Ethiopia,drima zede,1700-2000m,SNNPR,250,60 kg,2014,"March 25th, 2015",Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,,8,m,1700.0,2000.0,1850.0,High,High,High,High,High,High,Low,Low,Low,Low,High,High
21,Arabica,the coffee source inc.,Costa Rica,several,1300 msnm,san ramon,250,3 lbs,2014,"April 2nd, 2014",Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,m,1300.0,1300.0,1300.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
22,Arabica,roberto licona franco,Mexico,la herradura,1320,Veracruz,14,1 kg,2012,"July 26th, 2012",Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,m,1320.0,1320.0,1320.0,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
24,Arabica,ji-ae ahn,Ethiopia,,,Sidama,100,60 kg,2013,"September 3rd, 2013",,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish-Green,1,m,,,,High,High,High,High,High,High,Low,Low,Low,Low,Low,High
25,Arabica,nucoffee,Brazil,fazenda kaquend,1250m,Sul de Minas,3,60 kg,2011,"December 3rd, 2011",Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,m,1250.0,1250.0,1250.0,High,High,High,High,High,High,Low,Low,Low,Low,Average,High
